 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 6.073269E-11
-9.702970E-01 6.073269E-11
-9.504950E-01 6.073269E-11
-9.306931E-01 6.073269E-11
-9.108911E-01 6.073269E-11
-8.910891E-01 6.073269E-11
-8.712871E-01 6.073269E-11
-8.514851E-01 6.073269E-11
-8.316832E-01 6.073269E-11
-8.118812E-01 6.073269E-11
-7.920792E-01 6.073269E-11
-7.722772E-01 6.073269E-11
-7.524752E-01 6.073269E-11
-7.326733E-01 6.073269E-11
-7.128713E-01 6.073269E-11
-6.930693E-01 6.073269E-11
-6.732673E-01 6.073269E-11
-6.534653E-01 6.073269E-11
-6.336634E-01 6.073269E-11
-6.138614E-01 6.073269E-11
-5.940594E-01 6.073269E-11
-5.742574E-01 6.073269E-11
-5.544554E-01 6.073269E-11
-5.346535E-01 6.073269E-11
-5.148515E-01 6.073269E-11
-4.950495E-01 6.073269E-11
-4.752475E-01 6.073269E-11
-4.554455E-01 6.073269E-11
-4.356436E-01 6.073269E-11
-4.158416E-01 6.073269E-11
-3.960396E-01 6.073269E-11
-3.762376E-01 6.073269E-11
-3.564356E-01 6.073269E-11
-3.366337E-01 6.073269E-11
-3.168317E-01 6.073269E-11
-2.970297E-01 6.073269E-11
-2.772277E-01 6.073269E-11
-2.574257E-01 6.073269E-11
-2.376238E-01 6.073269E-11
-2.178218E-01 6.073269E-11
-1.980198E-01 6.073269E-11
-1.782178E-01 6.073269E-11
-1.584158E-01 6.073269E-11
-1.386139E-01 6.073269E-11
-1.188119E-01 6.073269E-11
-9.900990E-02 6.073269E-11
-7.920792E-02 6.073269E-11
-5.940594E-02 6.073269E-11
-3.960396E-02 6.073269E-11
-1.980198E-02 6.073269E-11
-8.673617E-18 6.073269E-11
1.980198E-02 6.073269E-11
3.960396E-02 6.073269E-11
5.940594E-02 6.073269E-11
7.920792E-02 6.073269E-11
9.900990E-02 6.073269E-11
1.188119E-01 6.073269E-11
1.386139E-01 6.073269E-11
1.584158E-01 6.073269E-11
1.782178E-01 6.073269E-11
1.980198E-01 6.073269E-11
2.178218E-01 6.073269E-11
2.376238E-01 6.073269E-11
2.574257E-01 6.073269E-11
2.772277E-01 6.073269E-11
2.970297E-01 6.073269E-11
3.168317E-01 6.073269E-11
3.366337E-01 6.073269E-11
3.564356E-01 6.073269E-11
3.762376E-01 6.073269E-11
3.960396E-01 6.073269E-11
4.158416E-01 6.073269E-11
4.356436E-01 6.073269E-11
4.554455E-01 6.073269E-11
4.752475E-01 6.073269E-11
4.950495E-01 6.073269E-11
5.148515E-01 6.073269E-11
5.346535E-01 6.073269E-11
5.544554E-01 6.073269E-11
5.742574E-01 6.073269E-11
5.940594E-01 6.073269E-11
6.138614E-01 6.073269E-11
6.336634E-01 6.073269E-11
6.534653E-01 6.073269E-11
6.732673E-01 6.073269E-11
6.930693E-01 6.073269E-11
7.128713E-01 6.073269E-11
7.326733E-01 6.073269E-11
7.524752E-01 6.073269E-11
7.722772E-01 6.073269E-11
7.920792E-01 6.073269E-11
8.118812E-01 6.073269E-11
8.316832E-01 6.073269E-11
8.514851E-01 6.073269E-11
8.712871E-01 6.073269E-11
8.910891E-01 6.073269E-11
9.108911E-01 6.073269E-11
9.306931E-01 6.073269E-11
9.504950E-01 6.073269E-11
9.702970E-01 6.073269E-11
9.900990E-01 6.073269E-11
